trial,ID,sex ,substrate_type,pauses_side,pauses_top,bipedal_quad_side,bipedal_quad_top,biped_combined,bipedal_side,bipedal_top,biped_tot,total_video_frames,bipedal_percent,no_start_from_standstill,stops_before_end_of_racetrack,calibration,side_amax,side_pmax,side_posmax,side_tmax,side_vmax,side_spline_tol,top_amax,top_pmax,top_posmax,top_tmax,top_vmax,top_spline_tol,peak_v,peak_v_cam
07.24.20_1424,J,M,SD,0,0,B,B,B,62,82,144,366,39.3442623,N,N,1443,18,18.4358,0.4597,0.368,1.7847,4.43E-09,10.9157,19.3853,0.7033,0.406,1.8645,5.70E-09,1.8645,2
07.24.20_1443,G,F,SD,1,0,Q,B,B,,111,111,545,20.36697248,N,N,1443,26,27.7299,0.4591,0.766,1.7951,3.93E-09,8.0993,15.1068,0.7029,0.364,2.1539,5.70E-09,2.1539,2
07.24.20_1456,J,M,SD,0,0,Q,Q,Q,,,,,,N,N,1443,26,18.4952,0.4562,0.558,1.2857,4.43E-09,11.0721,14.291,0.6835,0.5581,0.6799,5.70E-09,1.2857,1
07.24.20_1505,I,F,SD,1,1,Q,Q,Q,,,,,,N,N,1443,33,23.5766,0.4734,0.922,1.3406,6.43E-09,20.8944,18.7216,0.7022,0.552,1.834,5.70E-09,1.834,1
07.24.20_1515,G,F,SD,1,0,B,B,B,23,26,49,544,9.007352941,N,N,1443,33,35.1485,0.4845,0.722,1.7614,4.43E-09,12.896,19.8947,0.7034,0.412,2.0606,4.80E-09,2.0606,2
07.24.20_1606,J,M,SD,1,0,B,B,B,18,70,88,435,20.22988506,N,N,1443,21,25.527,0.4758,0.56,1.8157,5.51E-09,11.6689,21.5252,0.7016,0.36,2.1656,5.70E-09,2.1656,2
07.24.20_1613,I,F,SD,1,0,Q,Q,Q,,,,,,N,N,1443,26,12.3315,0.3986,0.688,1.2334,4.43E-09,8.9407,7.9499,0.7036,0.616,1.4504,5.70E-09,1.4504,2
07.24.20_1635,H,F,SD,0,0,Q,Q,Q,,,,,,N,N,1443,31,9.8834,0.4724,0.654,0.9373,5.13E-09,14.732,16.5338,0.7024,0.634,1.7377,5.70E-09,1.7377,2
07.25.20_0850,I,F,S,1,0,Q,B,B,,60,60,587,10.22146508,N,N,1433,33,14.726,0.5631,0.772,1.3937,4.43E-09,9.4016,12.8113,0.7072,0.496,2.0595,5.70E-09,2.0595,2
07.25.20_0909,J,M,S,0,1,B,B,B,145,100,245,483,50.72463768,N,N,1433,31,19.5477,0.5213,0.408,1.5991,2.93E-09,25.7572,38.7561,0.7081,0.614,1.9559,5.70E-09,1.9559,2
07.25.20_0922,I,F,S,1,0,Q,B,B,,20,20,536,3.731343284,N,N,1433,31,18.4642,0.4595,0.664,1.3656,5.83E-09,29.0389,15.5013,0.7057,0.684,1.9208,3.90E-09,1.9208,2
07.25.20_0932,H,F,S,0,0,B,B,B,105,6,111,487,22.7926078,N,N,1433,43,33.6925,0.522,0.376,1.7349,3.63E-09,18.7168,18.3539,0.7068,0.644,1.7426,5.70E-09,1.7426,2
07.28.20_1400,K,F,D,1,0,B,B,B,58,23,81,536,15.1119403,N,N,1456,38,36.0197,0.5401,0.638,1.755,7.53E-09,6.85,10.3943,0.6973,0.47,1.706,5.70E-09,1.755,1
07.28.20_1407,M,F,D,0,0,B,B,B,48,70,118,403,29.28039702,N,N,1456,21,16.5152,0.4981,0.43,1.6924,4.43E-09,12.0483,20.2544,0.6957,0.396,1.9889,5.70E-09,1.9889,2
07.28.20_1445,M,F,D,1,0,B,B,B,72,50,122,470,25.95744681,N,N,1456,57,57.7555,0.4927,0.582,1.657,4.43E-09,36.7036,48.6136,0.6946,0.408,1.9565,3.50E-09,1.9565,2
07.28.20_1451,L,F,D,0,1,Q,Q,Q,,,,,,N,N,1456,30,14.0758,0.4501,0.654,1.3081,4.43E-09,27.871,26.8804,0.6949,0.584,2.0844,5.70E-09,2.0844,2
07.28.20_1511,K,F,D,1,0,Q,B,B,,98,98,526,18.63117871,N,N,1456,37,14.1903,0.5223,0.662,1.278,4.43E-09,16.3568,15.3806,0.6961,0.468,1.795,5.70E-09,1.795,2
07.28.20_1524,L,F,D,1,0,B,B,B,38,80,118,640,18.4375,N,N,1456,27,17.5243,0.4967,0.884,1.498,6.73E-09,7.7291,12.8409,0.6953,0.44,1.7764,5.70E-09,1.7764,2
07.28.20_1542,K,F,D,1,0,Q,Q,Q,,,,,,N,N,1456,12,11.292,0.4691,0.716,1.5737,4.43E-09,9.8418,15.5925,0.698,0.464,1.7033,5.70E-09,1.7033,2
07.28.20_1549,M,F,D,1,0,Q,Q,Q,,,,,,N,N,1456,36,17.0453,0.4991,0.71,1.5432,6.09E-09,10.2366,20.4199,0.6948,0.398,2.0918,5.70E-09,2.0918,2
07.28.20_1556,L,F,D,0,0,Q,Q,Q,,,,,,N,N,1456,39,15.7674,0.4284,0.422,1.3366,4.43E-09,19.017,22.6175,0.6952,0.64,1.6915,5.70E-09,1.6915,2
07.28.20_1612,K,F,SD,0,0,Q,Q,Q,,,,,,N,N,1456,23,16.5774,0.4897,0.626,1.2692,6.23E-09,8.3625,10.2507,0.6941,0.574,1.6091,5.70E-09,1.6091,2
07.28.20_1623,M,F,SD,1,0,B,B,B,47,43,90,562,16.01423488,N,N,1456,26,19.9668,0.4244,0.678,1.7251,4.43E-09,14.0818,20.1942,0.6954,0.492,1.7499,5.70E-09,1.7499,2
